ItemName,StockLevel,Cost,ReimbursementPotential,ExpirationDate
Levonorgestrel,19,803.02,16172.88,8/7/2028
Levonorgestrel,19,803.02,16172.88,8/8/2028
Levonorgestrel,20,719.31,15249.45,2/23/2028
Levonorgestrel,20,719.31,15249.45,2/24/2028
Insulin Pen Reusable Bt Aspart,22,680.74,15874.9,11/3/2028
Insulin Pen Reusable Bt Aspart,22,680.74,15874.9,11/4/2028
Measles Mumps Rub Varicella/PF,24,224.18,5703.02,11/26/2028
Measles Mumps Rub Varicella/PF,24,224.18,5703.02,11/27/2028
PEGfilgrastim-Jmdb,26,7032.26,193809.22,6/6/2028
PEGfilgrastim-Jmdb,26,7032.26,193809.22,6/7/2028
Naloxone HCl,35,18.35,680.82,5/1/2028
Tildrakizumab-Asmn,37,13345.36,523405.17,2/15/2028
Tildrakizumab-Asmn,37,13345.36,523405.17,2/16/2028
Diph Pertus(Acel) Tet Polio/PF,39,125.07,5170.55,9/5/2028
Diph Pertus(Acel) Tet Polio/PF,39,125.07,5170.55,9/6/2028
Hep B Vaccine/Dp(A)t-Polio/PF,40,182.47,7736.74,3/4/2028
Hep B Vaccine/Dp(A)t-Polio/PF,40,182.47,7736.74,3/5/2028
Levonorgestrel,40,919.87,39002.31,7/23/2028
Levonorgestrel,40,919.87,39002.31,7/24/2028
Haloperidol Decanoate,47,45.98,2290.53,3/20/2028
Epoetin Alfa-Epbx,48,241.7,12297.56,1/4/2029
Epoetin Alfa-Epbx,48,241.7,12297.56,1/5/2029
Insulin Pen Reusable Bt Lispro,49,684.27,35541.1,11/5/2028
Insulin Pen Reusable Bt Lispro,49,684.27,35541.1,11/6/2028
Granisetron,52,1383.66,76267.1,6/27/2028
Granisetron,52,1383.66,76267.1,6/28/2028
Infliximab-Abda,53,778.5,43736.4,2/1/2028
Infliximab-Abda,53,778.5,43736.4,2/3/2028
Hepatitis B Virus Vaccine/PF,53,85.64,4811.13,4/12/2028
Hepatitis B Virus Vaccine/PF,53,85.64,4811.13,4/13/2028
Sumatriptan Succinate,54,44.35,2538.42,8/11/2028
Ibandronate Sodium,58,83.65,5142.9,4/17/2028
Syringe Needle Insuln Safe 1ml,58,0.94,57.64,12/26/2028
Syringe Needle Insuln Safe 1ml,58,0.94,57.64,12/27/2028
Midazolam HCl/PF,62,2.32,152.47,6/20/2028
Dipht Pert(A) Tet-Polio/Hib/PF,64,140.02,9498.66,12/25/2028
Dipht Pert(A) Tet-Polio/Hib/PF,64,140.02,9498.66,12/26/2028
Flumazenil,65,1.76,121.29,3/19/2028
Lorazepam,70,2.51,186.18,9/14/2028
Neomycin/Bacitracin/Polymyxinb,73,13.03,1008.27,12/30/2028
Cefuroxime Axetil,76,1.99,160.42,2/21/2028
Glucagon,76,183.28,14765.07,9/2/2028
Vincristine Sulfate,81,14.45,1240.46,6/20/2028
Vincristine Sulfate,81,14.45,1240.46,6/21/2028
Ibandronate Sodium,84,89.45,7964.69,4/15/2028
Cemiplimab-Rwlc,84,1225.9,109154.4,5/12/2028
Cemiplimab-Rwlc,84,1225.9,109154.4,5/13/2028
Zoledronic Acid,85,8.22,740.19,4/27/2028
Risedronate Sodium,85,90.39,8144.44,10/21/2028
Blinatumomab,87,3913.97,360945.96,1/14/2028
Blinatumomab,87,3913.97,360945.96,1/15/2028
Triamcinolone Acetonide/PF,90,151.44,14447.22,3/4/2028
Triamcinolone Acetonide/PF,90,151.44,14447.22,3/5/2028
Rasburicase,93,3313.11,326606.37,7/6/2028
Rasburicase,93,3313.11,326606.37,7/7/2028
Lidocaine HCl/PF,94,26.09,2599.94,3/23/2028
Lidocaine HCl/PF,94,26.09,2599.94,3/24/2028
Ranibizumab,98,32482.75,3374308.07,6/8/2028
Ranibizumab,98,32482.75,3374308.07,6/9/2028
Medroxyprogesterone Acetate,103,195.35,21327.93,2/14/2028
Medroxyprogesterone Acetate,103,195.35,21327.93,2/15/2028
Dacarbazine,104,9,992.47,7/22/2028
Dacarbazine,104,9,992.47,7/24/2028
Metoclopramide HCl,112,1.85,220.15,10/29/2028
Methylprednisolone Sod Succ/PF,116,11.18,1374.27,3/27/2028
Mitomycin,119,545.37,68792.4,2/15/2028
Medroxyprogesterone Acetate,126,362.69,48440.8,2/12/2028
Medroxyprogesterone Acetate,126,362.69,48440.8,2/13/2028
Mitoxantrone HCl,130,22.28,3069.86,2/11/2028
Mitoxantrone HCl,130,22.28,3069.86,2/13/2028
Ceftriaxone Sodium,135,14.33,2050.3,3/1/2028
Dexamethasone Sodium Phosp/PF,136,1.65,237.71,10/22/2028
Atropine Sulfate,141,6.83,1020.52,3/23/2028
Romidepsin,153,3313.5,537384.02,2/29/2028
Romidepsin,153,3313.5,537384.02,3/1/2028
Leuprolide Acetate,155,3084.62,506802.55,5/21/2028
Leuprolide Acetate,155,3084.62,506802.55,5/22/2028
Evolocumab,157,227.88,37923.19,1/14/2028
Dexamethasone Sodium Phosp/PF,157,1.99,330.89,10/18/2028
Vinorelbine Tartrate,158,11.6,1942.83,6/15/2028
Fluconazole,164,1.96,341.42,4/23/2028
Alprostadil,164,94.07,16352.41,6/15/2028
Alprostadil,164,94.07,16352.41,6/16/2028
Decitabine,165,1179.14,206231.72,4/15/2028
Haemoph B Poly Conj-Tet Tox/PF,166,17.95,3158.96,1/5/2029
Haemoph B Poly Conj-Tet Tox/PF,166,17.95,3158.96,1/6/2029
Gemcitabine HCl,168,32.75,5831.97,12/24/2028
Haemph B Polysac Conj-Menin/PF,173,81.32,14913.16,3/2/2028
Haemph B Polysac Conj-Menin/PF,173,81.32,14913.16,3/3/2028
Tetanus Diphtheria Toxd Ped/PF,174,131.94,24335.18,11/3/2028
Tetanus Diphtheria Toxd Ped/PF,174,131.94,24335.18,11/4/2028
Oxaliplatin,177,148.05,27776.73,12/31/2028
