ItemName,StockLevel,Cost,ReimbursementPotential,ExpirationDate
Megestrol Acetate,1331037,3.01,4253100.34,2028-12-17
Syringe-Needle,Insulin,0.5 Ml,710,0.14,105.49,2028-08-09
Syringe-Needle,Insulin,0.5 Ml,50104092,0.26,13897903.08,2028-08-08
Megestrol Acetate,7860,0.14,1200.86,2028-12-15
Syringe-Needle,Insulin,0.5 Ml,34460,0.19,6852.84,2028-08-07
Megestrol Acetate,255796,0.17,45831.98,2028-12-14
Syringe-Needle,Insulin,0.5 Ml,102660,0.15,16445.06,2028-08-06
Megestrol Acetate,38512509,0.38,15609106.20,2028-12-13
Syringe,Insul U-500,Ndl,0.5ml,863253,0.30,270888.64,2028-08-05
Megestrol Acetate,54299251,0.13,7662757.13,2028-12-12
Syringe,Insul U-500,Ndl,0.5ml,863253,0.30,270888.64,2028-08-04
Megestrol Acetate,38451,0.38,15680.46,2028-12-11
Syring-Needl,Disp,Insul,0.3 Ml,13210,0.33,4672.61,2028-08-03
Megestrol Acetate,322537,0.13,45370.89,2028-12-10
Syring-Needl,Disp,Insul,0.3 Ml,13210,0.33,4672.61,2028-08-02
Megestrol Acetate,569744,3.13,1889128.91,2028-12-09
Pen Needle, Diabetic,849173,0.25,227266.82,2028-08-01
Trametinib Dimethyl Sulfoxide,314810,308.93,103090067.44,2028-12-08
Pen Needle, Diabetic,847273,0.25,226890.61,2028-07-31
Eluxadoline,3093117,19.19,62920983.11,2028-07-29
Eluxadoline,3093117,19.19,62920983.11,2028-07-30
Fludrocortisone Acetate,14997121,0.45,7151838.93,2028-03-23
Fludrocortisone Acetate,26379,0.55,15259.15,2028-03-24
Fludrocortisone Acetate,25284,0.48,12911.33,2028-03-25
Liraglutide,3549582,94.04,353824589.79,2028-07-26
Fludrocortisone Acetate,11870138,0.47,5970834.83,2028-03-27
Doxycycline Calcium,287237,1.04,317864.31,2028-07-27
Fludrocortisone Acetate,27066958,0.46,13236366.36,2028-03-28
Doxycycline Calcium,287237,1.04,317864.31,2028-07-28
Flucytosine,11528,94.15,1150504.40,2028-03-30
Flucytosine,8305,85.52,752891.77,2028-03-31
Sildenafil Citrate,313807,67.63,22494642.03,2028-08-02
Sildenafil Citrate,313807,67.63,22494642.03,2028-08-03
Voriconazole,5652,38.32,229575.54,2028-08-04
Syringe-Needle,Insulin,0.5 Ml,13118871,0.17,2336016.91,2028-08-19
Mefenamic Acid,17444,6.13,113285.66,2028-12-26
Syringe-Needle,Insulin,0.5 Ml,8649840,0.13,1156753.38,2028-08-18
Mefenamic Acid,8307,7.75,68221.05,2028-12-25
Syringe-Needle,Insulin,0.5 Ml,5634733,0.25,1464645.11,2028-08-17
Mefenamic Acid,9137,4.04,39080.58,2028-12-24
Mefloquine HCl,134776,6.06,866416.18,2028-12-23
Syringe-Needle,Insulin,0.5 Ml,110614,0.61,71923.24,2028-08-15
Mefloquine HCl,13898,6.98,102818.64,2028-12-22
Syringe-Needle,Insulin,0.5 Ml,200900,0.12,24747.86,2028-08-14
Mefloquine HCl,120878,5.95,762536.34,2028-12-21
Syringe-Needle,Insulin,0.5 Ml,46673,0.17,8271.59,2028-08-13
Megestrol Acetate,99583082,0.36,37476160.69,2028-12-20
Syringe-Needle,Insulin,0.5 Ml,368283,0.15,57955.91,2028-08-12
Megestrol Acetate,30961,0.20,6428.30,2028-12-19
Syringe-Needle,Insulin,0.5 Ml,1944510,0.57,1175107.39,2028-08-11
Megestrol Acetate,4214935,0.35,1550814.27,2028-12-18
Syringe-Needle,Insulin,0.5 Ml,7716,0.18,1485.77,2028-08-10
Vigabatrin,22530,98.22,2345585.74,2028-07-18
Flucytosine,1388,53.36,78510.18,2028-04-02
Levonorgestrel/Ethin.Estradiol,12910,0.55,7562.85,2028-07-19
Flucytosine,21221,87.72,1973273.87,2028-04-03
Levonorgestrel/Ethin.Estradiol,12910,0.55,7562.85,2028-07-20
Fluconazole In NaCl,Iso-Osm,107882,0.11,12239.61,2028-04-04
Azacitidine,483,605.82,310165.89,2028-07-21
Fluconazole In NaCl,Iso-Osm,177871,0.05,9199.50,2028-04-05
Fluconazole In NaCl,Iso-Osm,56655,0.04,2247.99,2028-04-06
Fluconazole In NaCl,Iso-Osm,782777,0.08,64296.61,2028-04-07
Vigabatrin,21210,97.72,2196984.22,2028-07-16
Fluconazole In NaCl,Iso-Osm,1125185,0.08,89484.23,2028-04-10
Fluconazole,2092,2.77,6142.60,2028-04-11
Azacitidine,483,605.82,310165.89,2028-07-22
Liraglutide,14450389,92.83,1421980407.64,2028-07-23
Liraglutide,14450389,92.83,1421980407.64,2028-07-24
Liraglutide,3549582,94.04,353824589.79,2028-07-25
Prasterone (Dhea),148285,6.59,1035278.54,2028-07-19
Interferon Alfa-2b,Recomb.,19047,217.00,4381140.34,2028-07-18
Interferon Alfa-2b,Recomb.,19047,217.00,4381140.34,2028-07-17
Guanfacine HCl,19226,9.85,200787.31,2028-07-16
Guanfacine HCl,19226,9.85,200787.31,2028-07-15
Ertapenem Sodium,4621811,11.55,56591619.61,2028-07-14
Ertapenem Sodium,4621811,11.55,56591619.61,2028-07-13
Paliperidone,2950161,42.66,133419615.49,2028-07-12
Paliperidone,2950161,42.66,133419615.49,2028-07-11
Vilazodone HCl,11216159,8.38,99638317.13,2028-07-07
Vilazodone HCl,11216159,8.38,99638317.13,2028-07-08
Moxifloxacin HCl,69967,52.46,3890648.50,2028-07-09
Fluocinolone Acetonide,305381,1.81,587060.62,2028-03-03
Fluocinolone Acetonide,2253110,1.60,3825857.14,2028-03-06
Fluocinolone Acetonide,16440,1.23,21430.60,2028-03-08
Fluocinolone Acetonide,532293,1.11,625686.98,2028-03-09
Fluocinolone Acetonide,338875,1.07,386130.74,2028-03-10
Fluocinolone Acetonide,170510,1.27,230408.62,2028-03-11
Moxifloxacin HCl,69967,52.46,3890648.50,2028-07-11
Fluocinolone Acetonide,2918650,1.42,4401738.08,2028-03-12
Vigabatrin,1320,103.60,144960.15,2028-07-13
Pen Needle, Diabetic,1900,0.19,381.21,2028-07-30
Iron Fum,Ps/Folic Acid/Vitc/B3,1080,0.56,638.40,2028-07-29
Iron Fum,Ps/Folic Acid/Vitc/B3,1080,0.56,638.40,2028-07-28
Iron Fum,Ps/Folic/Bcomp,C No.9,570,0.69,414.21,2028-07-27
Iron Fum,Ps/Folic/Bcomp,C No.9,570,0.69,414.21,2028-07-26
Etravirine,4730736,20.50,102802534.72,2028-07-25
Etravirine,4730736,20.50,102802534.72,2028-07-24
Fat Emulsions,45457797,0.17,8020412.27,2028-07-23
Fat Emulsions,45457797,0.17,8020412.27,2028-07-22
Prasterone (Dhea),148285,6.59,1035278.54,2028-07-21
Tamoxifen Citrate,5385802,0.95,5443513.76,2028-02-18
Naproxen/Esomeprazole Mag,830648,41.01,36107802.49,2028-06-26
Tamoxifen Citrate,990,0.22,235.71,2028-02-19
Naproxen/Esomeprazole Mag,830648,41.01,36107802.49,2028-06-27
Tamoxifen Citrate,2132009,0.64,1452704.62,2028-02-20
Elosulfase Alfa,60485,229.91,14740747.70,2028-06-28
Fluocinolone Acetonide,8952545,1.51,14289167.41,2028-03-13
Tamoxifen Citrate,26943453,0.75,21516863.40,2028-02-21
Elosulfase Alfa,60485,229.91,14740747.70,2028-06-29
Flunisolide,2980652,2.27,7158643.61,2028-03-14
Flunisolide,2980652,2.27,7158643.61,2028-03-16
Flumazenil,4694,2.58,12861.28,2028-03-17
Talazoparib Tosylate,330,492.99,172449.33,2028-02-26
Flumazenil,65,1.76,121.29,2028-03-19
Flumazenil,7954,1.81,15273.55,2028-03-20
Flumazenil,12713,2.08,28034.05,2028-03-21
Fludrocortisone Acetate,148035,0.47,73600.84,2028-03-22
Oseltamivir Phosphate,297585,2.58,814989.45,2028-02-22
Oseltamivir Phosphate,220290,14.47,3379327.95,2028-02-23
Oseltamivir Phosphate,517875,12.99,7130082.47,2028-02-24
Talazoparib Tosylate,330,492.99,172449.33,2028-02-25
Triamterene/Hydrochlorothiazid,45758,1.56,75671.58,2028-01-27
Metronidazole,114320,32.61,3951331.61,2028-06-03
Syring-Needl,Disp,Insul,0.3 Ml,174749,0.16,29752.82,2028-09-18
Metronidazole,114320,32.61,3951331.61,2028-06-04
Syring-Needl,Disp,Insul,0.3 Ml,1300,0.37,513.17,2028-09-17
Syring-Needl,Disp,Insul,0.3 Ml,700139,0.57,425342.17,2028-09-16
Syring-Needl,Disp,Insul,0.3 Ml,7280,0.26,1989.04,2028-09-15
Norethindrone,236886,0.60,151228.07,2028-05-30
Syring-Needl,Disp,Insul,0.3 Ml,19844111,0.26,5488757.10,2028-09-14
Meclizine HCl,142436558,0.20,30910313.55,2028-01-22
Norethindrone,236886,0.60,151228.07,2028-05-31
Syring-Needl,Disp,Insul,0.3 Ml,34150,0.15,5459.34,2028-09-13
Disopyramide Phosphate,42215,4.70,210293.16,2028-05-28
Syringe And Needle,Insulin,1ml,90092532,0.24,23092032.22,2028-09-12
Disopyramide Phosphate,42215,4.70,210293.16,2028-05-29
Syringe And Needle,Insulin,1ml,16550541,0.17,3038285.79,2028-09-11
Syringe And Needle,Insulin,1ml,10777401,0.13,1437784.28,2028-09-10
Meclizine HCl,65146,0.27,18915.27,2028-01-18
Disopyramide Phosphate,285294,4.37,1321737.68,2028-05-27
Syring-Needl,Disp,Insul,0.3 Ml,66393,0.61,43246.16,2028-09-20
Triamterene/Hydrochlorothiazid,45758,1.56,75671.58,2028-01-28
Syring-Needl,Disp,Insul,0.3 Ml,101230,0.12,12628.05,2028-09-19
Tamsulosin HCl,15751223,0.37,6144169.43,2028-02-08
Vinorelbine Tartrate,1146,18.11,22004.31,2028-06-16
Tamsulosin HCl,309045257,0.34,110608987.36,2028-02-09
Vinorelbine Tartrate,1304,17.54,24239.36,2028-06-17
Tamsulosin HCl,428595930,0.30,135429549.38,2028-02-10
Vincristine Sulfate,969,4.96,5090.68,2028-06-18
Tamoxifen Citrate,6824391,0.69,4955790.42,2028-02-15
Vinblastine Sulfate,1010,4.32,4622.20,2028-06-23
Tamoxifen Citrate,12600260,0.72,9675284.34,2028-02-16
Lacosamide,56294576,13.01,776592636.10,2028-06-24
Lacosamide,56294576,13.01,776592636.10,2028-06-25
Tamsulosin HCl,7125,0.35,2616.65,2028-02-11
Vincristine Sulfate,969,4.96,5090.68,2028-06-19
Tamsulosin HCl,47295119,0.27,13435436.13,2028-02-12
Vincristine Sulfate,81,14.45,1240.46,2028-06-20
Tamsulosin HCl,61242817,0.33,21207934.39,2028-02-13
Vincristine Sulfate,81,14.45,1240.46,2028-06-21
Tamsulosin HCl,1083055081,0.31,360241247.63,2028-02-14
Vinblastine Sulfate,1010,4.32,4622.20,2028-06-22
Dexamethasone,12355,15.29,200260.35,2028-02-06
Norethindrone-E.Estradiol-Iron,148879,0.79,123941.50,2028-06-15
Pen Needle, Diabetic,70365,0.22,16089.81,2028-09-28
Syrge-Ndl,Ins 0.3 Ml Half Mark,3087092,0.27,880543.48,2028-09-27
Dexamethasone,12355,15.29,200260.35,2028-02-04
Norethindrone-E.Estradiol-Iron,134403,0.62,88452.36,2028-06-13
Syrge-Ndl,Ins 0.3 Ml Half Mark,3087092,0.27,880543.48,2028-09-26
Neomycin/Polymyxin B/Dexametha,1543,40.55,66325.50,2028-02-03
Syring-Needl,Disp,Insul,0.3 Ml,34416183,0.23,8390260.66,2028-09-25
Norethindrone-E.Estradiol-Iron,14476,2.61,40057.24,2028-06-11
Syring-Needl,Disp,Insul,0.3 Ml,6888070,0.17,1266476.71,2028-09-24
Neomycin/Polymyxin B/Dexametha,843,53.06,47416.51,2028-02-01
Norgestimate-Ethinyl Estradiol,562033,0.51,306673.79,2028-06-08
Syring-Needl,Disp,Insul,0.3 Ml,4490650,0.13,599457.41,2028-09-23
Neomycin/Polymyxin B/Dexametha,700,18.75,13910.94,2028-01-31
Syring-Needl,Disp,Insul,0.3 Ml,2108110,0.24,526049.17,2028-09-22
Triamterene/Hydrochlorothiazid,86697,3.46,317616.11,2028-01-30
Norgestimate-Ethinyl Estradiol,376924,0.53,211469.24,2028-06-06
Triamterene/Hydrochlorothiazid,86697,3.46,317616.11,2028-01-29
Norgestimate-Ethinyl Estradiol,185109,0.49,95255.61,2028-06-07
Norethindrone Acetate,546581,1.11,643463.23,2028-06-16
Erlotinib HCl,830430,245.41,216023478.52,2028-01-28
Pen Needle, Diabetic,70365,0.22,16089.81,2028-09-29
Tamsulosin HCl,19942,0.74,15690.83,2028-01-29
Nevirapine,21655,26.14,600083.90,2028-06-06
Tamsulosin HCl,118703689,0.35,44253393.18,2028-01-30
Nevirapine,21655,26.14,600083.90,2028-06-07
Tamsulosin HCl,1020,0.22,234.72,2028-02-04
Lipase/Protease/Amylase,517740,4.67,2561646.00,2028-06-12
Tamsulosin HCl,122811,0.41,53164.56,2028-02-05
Tamsulosin HCl,8133367,0.11,928250.45,2028-02-06
Lipase/Protease/Amylase,517740,4.67,2561646.00,2028-06-14
Vinorelbine Tartrate,158,11.60,1942.83,2028-06-15
Tamsulosin HCl,73913414,0.27,21362379.44,2028-01-31
Nelfinavir Mesylate,654617,9.44,6551884.52,2028-06-08
Tamsulosin HCl,8520,0.14,1224.79,2028-02-01
Nelfinavir Mesylate,654617,9.44,6551884.52,2028-06-09
Tamsulosin HCl,703,0.51,383.29,2028-02-02
Desog-E.Estradiol/E.Estradiol,153871,0.89,145706.18,2028-06-10
Tamsulosin HCl,20214143,0.23,4876942.27,2028-02-03
Desog-E.Estradiol/E.Estradiol,153871,0.89,145706.18,2028-06-11
Medroxyprogesterone Acetate,11520105,0.21,2546317.43,2029-01-06
Tenofovir Disoproxil Fumarate,1137550,36.74,44298889.73,2028-06-05
Syringe And Needle,Insulin,1ml,118035,0.29,35764.71,2028-08-29
Medroxyprogesterone Acetate,8775,73.71,685575.24,2029-01-05
Syringe And Needle,Insulin,1ml,53627821,0.27,15264268.71,2028-08-28
Syringe And Needle,Insulin,1ml,25300,0.19,5045.92,2028-08-27
Syringe And Needle,Insulin,1ml,105428,0.15,16753.85,2028-08-26
Syringe And Needle,Insulin,1ml,617,0.21,136.82,2028-08-25
Medroxyprogesterone Acetate,251,73.42,19533.54,2029-01-01
Syringe W-Ndl, Disp,Insul,2 Ml,1983,0.35,743.60,2028-08-24
Medroxyprogesterone Acetate,112323,73.75,8781212.18,2028-12-31
Syringe W-Ndl, Disp,Insul,2 Ml,1983,0.35,743.60,2028-08-23
Medroxyprogesterone Acetate,6059045,0.24,1558021.80,2028-12-30
Syringe,Insulin,Needless 1 Ml,13403,0.17,2406.43,2028-08-22
Syringe,Insulin,Needless 1 Ml,13403,0.17,2406.43,2028-08-21
Medroxyprogesterone Acetate,9617,45.28,461537.15,2028-12-28
Syringe-Needle,Insulin,0.5 Ml,80324062,0.24,20373744.87,2028-08-20
Fluconazole,5210967,3.10,17147598.37,2028-04-22
Fluconazole,46957,1.70,84638.87,2028-04-12
Fluconazole,712428,2.81,2123766.42,2028-04-14
Mvn-Min75/Iron/Iron Ps/Om3/DHA,7255,0.90,6957.41,2028-01-18
Fluconazole,2627639,2.63,7326114.96,2028-04-15
Multivit 47/Iron/Folate 1/DHA,18264,1.80,34829.64,2028-05-27
Fluconazole,3733196,2.41,9521838.13,2028-04-16
Fluconazole,612498,2.99,1939878.68,2028-04-17
Fluconazole,1644135,2.17,3790143.63,2028-04-19
Fluconazole,12313,2.07,26954.41,2028-04-20
Bexarotene,59896,378.36,24021735.13,2028-01-24
B Complex W-C No.20/Folic Acid,40970,0.42,18231.93,2028-06-01
Fluconazole,3099173,2.40,7869744.07,2028-04-21
Doxycycline Hyclate,11477,12.68,154271.91,2028-01-25
Mvn-Min75/Iron/Iron Ps/Om3/DHA,5222,1.15,6356.60,2028-06-02
Doxycycline Hyclate,11477,12.68,154271.91,2028-01-26
Mvn-Min75/Iron/Iron Ps/Om3/DHA,5222,1.15,6356.60,2028-06-03
Erlotinib HCl,830430,245.41,216023478.52,2028-01-27
Tenofovir Disoproxil Fumarate,1137550,36.74,44298889.73,2028-06-04
Multivit 47/Iron/Folate 1/DHA,18264,1.80,34829.64,2028-05-28
PNV 11/Iron Fum/Folic Acid/Om3,4350,3.13,14451.31,2028-05-29
PNV 11/Iron Fum/Folic Acid/Om3,4350,3.13,14451.31,2028-05-30
Bexarotene,59896,378.36,24021735.13,2028-01-23
B Complex W-C No.20/Folic Acid,40970,0.42,18231.93,2028-05-31
